Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
                0.00    0.00 1000252/4908127     std::_Rb_tree_iterator<std::pair<scene::physics::Position const, scene::physics::Physics_Object> >::_Rb_tree_iterator(std::_Rb_tree_node_base*) [50]
                0.00    0.00  169919/78538764     std::_Rb_tree<scene::physics::Position, std::pair<scene::physics::Position const, scene::physics::Physics_Object>, std::_Select1st<std::pair<scene::physics::Position const, scene::physics::Physics_Object> >, std::less<scene::physics::Position>, std::allocator<std::pair<scene::physics::Position const, scene::physics::Physics_Object> > >::_S_key(std::_Rb_tree_node<std::pair<scene::physics::Position const, scene::physics::Physics_Object> > const*) [11]
                0.00    0.00  169919/29483730     std::_Rb_tree<scene::physics::Position, std::pair<scene::physics::Position const, scene::physics::Physics_Object>, std::_Select1st<std::pair<scene::physics::Position const, scene::physics::Physics_Object> >, std::less<scene::physics::Position>, std::allocator<std::pair<scene::physics::Position const, scene::physics::Physics_Object> > >::_S_right(std::_Rb_tree_node_base*) [14]
-----------------------------------------------
                0.00    0.01  969092/969092      std::_Rb_tree<scene::physics::Position, std::pair<scene::physics::Position const, scene::physics::Physics_Object>, std::_Select1st<std::pair<scene::physics::Position const, scene::physics::Physics_Object> >, std::less<scene::physics::Position>, std::allocator<std::pair<scene::physics::Position const, scene::physics::Physics_Object> > >::_M_insert_node(std::_Rb_tree_node_base*, std::_Rb_tree_node_base*, std::_Rb_tree_node<std::pair<scene::physics::Position const, scene::physics::Physics_Object> >*) [29]
[69]     0.2    0.00    0.01  969092         std::_Rb_tree<scene::physics::Position, std::pair<scene::physics::Position const, scene::physics::Physics_Object>, std::_Select1st<std::pair<scene::physics::Position const, scene::physics::Physics_Object> >, std::less<scene::physics::Position>, std::allocator<std::pair<scene::physics::Position const, scene::physics::Physics_Object> > >::_S_key(std::_Rb_tree_node_base const*) [69]
                0.00    0.00  969092/78538764     std::_Rb_tree<scene::physics::Position, std::pair<scene::physics::Position const, scene::physics::Physics_Object>, std::_Select1st<std::pair<scene::physics::Position const, scene::physics::Physics_Object> >, std::less<scene::physics::Position>, std::allocator<std::pair<scene::physics::Position const, scene::physics::Physics_Object> > >::_S_key(std::_Rb_tree_node<std::pair<scene::physics::Position const, scene::physics::Physics_Object> > const*) [11]
-----------------------------------------------
                0.00    0.01       1/1           main [1]
[70]     0.2    0.00    0.01       1         scene::physics::Physics_Object_List::Physics_Object_List() [70]
                0.00    0.01       1/1           std::multimap<scene::physics::Position, scene::physics::Physics_Object, std::less<scene::physics::Position>, std::allocator<std::pair<scene::physics::Position const, scene::physics::Physics_Object> > >::multimap() [75]
                0.00    0.00       1/1           scene::physics::Physics_Commands::Physics_Commands() [201]
-----------------------------------------------
                0.01    0.00       1/1           std::allocator<std::_Rb_tree_node<std::pair<scene::physics::Position const, scene::physics::Physics_Object> > >::allocator() [72]
[71]     0.2    0.01    0.00       1         __gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<scene::physics::Position const, scene::physics::Physics_Object> > >::new_allocator() [71]
-----------------------------------------------
                0.00    0.01       1/1           std::_Rb_tree<scene::physics::Position, std::pair<scene::physics::Position const, scene::physics::Physics_Object>, std::_Select1st<std::pair<scene::physics::Position const, scene::physics::Physics_Object> >, std::less<scene::physics::Position>, std::allocator<std::pair<scene::physics::Position const, scene::physics::Physics_Object> > >::_Rb_tree_impl<std::less<scene::physics::Position>, true>::_Rb_tree_impl() [73]
[72]     0.2    0.00    0.01       1         std::allocator<std::_Rb_tree_node<std::pair<scene::physics::Position const, scene::physics::Physics_Object> > >::allocator() [72]
                0.01    0.00       1/1           __gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<scene::physics::Position const, scene::physics::Physics_Object> > >::new_allocator() [71]
-----------------------------------------------
                0.00    0.01       1/1           std::_Rb_tree<scene::physics::Position, std::pair<scene::physics::Position const, scene::physics::Physics_Object>, std::_Select1st<std::pair<scene::physics::Position const, scene::physics::Physics_Object> >, std::less<scene::physics::Position>, std::allocator<std::pair<scene::physics::Position const, scene::physics::Physics_Object> > >::_Rb_tree() [74]
[73]     0.2    0.00    0.01       1         std::_Rb_tree<scene::physics::Position, std::pair<scene::physics::Position const, scene::physics::Physics_Object>, std::_Select1st<std::pair<scene::physics::Position const, scene::physics::Physics_Object> >, std::less<scene::physics::Position>, std::allocator<std::pair<scene::physics::Position const, scene::physics::Physics_Object> > >::_Rb_tree_impl<std::less<scene::physics::Position>, true>::_Rb_tree_impl() [73]
                0.00    0.01       1/1           std::allocator<std::_Rb_tree_node<std::pair<scene::physics::Position const, scene::physics::Physics_Object> > >::allocator() [72]
                0.00    0.00       1/1           std::_Rb_tree_key_compare<std::less<scene::physics::Position> >::_Rb_tree_key_compare() [215]
                0.00    0.00       1/1           std::_Rb_tree_header::_Rb_tree_header() [212]
-----------------------------------------------
                0.00    0.01       1/1           std::multimap<scene::physics::Position, scene::physics::Physics_Object, std::less<scene::physics::Position>, std::allocator<std::pair<scene::physics::Position const, scene::physics::Physics_Object> > >::multimap() [75]
[74]     0.2    0.00    0.01       1         std::_Rb_tree<scene::physics::Position, std::pair<scene::physics::Position const, scene::physics::Physics_Object>, std::_Select1st<std::pair<scene::physics::Position const, scene::physics::Physics_Object> >, std::less<scene::physics::Position>, std::allocator<std::pair<scene::physics::Position const, scene::physics::Physics_Object> > >::_Rb_tree() [74]
                0.00    0.01       1/1           std::_Rb_tree<scene::physics::Position, std::pair<scene::physics::Position const, scene::physics::Physics_Object>, std::_Select1st<std::pair<scene::physics::Position const, scene::physics::Physics_Object> >, std::less<scene::physics::Position>, std::allocator<std::pair<scene::physics::Position const, scene::physics::Physics_Object> > >::_Rb_tree_impl<std::less<scene::physics::Position>, true>::_Rb_tree_impl() [73]
-----------------------------------------------
                0.00    0.01       1/1           scene::physics::Physics_Object_List::Physics_Object_List() [70]
[75]     0.2    0.00    0.01       1         std::multimap<scene::physics::Position, scene::physics::Physics_Object, std::less<scene::physics::Position>, std::allocator<std::pair<scene::physics::Position const, scene::physics::Physics_Object> > >::multimap() [75]
                0.00    0.01       1/1           std::_Rb_tree<scene::physics::Position, std::pair<scene::physics::Position const, scene::physics::Physics_Object>, std::_Select1st<std::pair<scene::physics::Position const, scene::physics::Physics_Object> >, std::less<scene::physics::Position>, std::allocator<std::pair<scene::physics::Position const, scene::physics::Physics_Object> > >::_Rb_tree() [74]
-----------------------------------------------
                0.00    0.00  968961/968961      std::pair<std::__strip_reference_wrapper<std::decay<scene::physics::Position>::type>::__type, std::__strip_reference_wrapper<std::decay<scene::physics::Physics_Object>::type>::__type> std::make_pair<scene::physics::Position, scene::physics::Physics_Object>(scene::physics::Position&&, scene::physics::Physics_Object&&) [34]
[76]     0.1    0.00    0.00  968961         std::pair<scene::physics::Position, scene::physics::Physics_Object>::pair<scene::physics::Position, scene::physics::Physics_Object, true>(scene::physics::Position&&, scene::physics::Physics_Object&&) [76]
                0.00    0.00  968961/2906883     scene::physics::Physics_Object&& std::forward<scene::physics::Physics_Object>(std::remove_reference<scene::physics::Physics_Object>::type&) [56]
                0.00    0.00  968961/2906883     scene::physics::Position&& std::forward<scene::physics::Position>(std::remove_reference<scene::physics::Position>::type&) [91]
-----------------------------------------------
                0.00    0.00     132/132         std::multimap<scene::physics::Position, scene::physics::Physics_Object, std::less<scene::physics::Position>, std::allocator<std::pair<scene::physics::Position const, scene::physics::Physics_Object> > >::insert(std::_Node_handle<scene::physics::Position, std::pair<scene::physics::Position const, scene::physics::Physics_Object>, std::allocator<std::_Rb_tree_node<std::pair<scene::physics::Position const, scene::physics::Physics_Object> > > >&&) [78]
[77]     0.0    0.00    0.00     132         std::_Rb_tree<scene::physics::Position, std::pair<scene::physics::Position const, scene::physics::Physics_Object>, std::_Select1st<std::pair<scene::physics::Position const, scene::physics::Physics_Object> >, std::less<scene::physics::Position>, std::allocator<std::pair<scene::physics::Position const, scene::physics::Physics_Object> > >::_M_reinsert_node_equal(std::_Node_handle<scene::physics::Position, std::pair<scene::physics::Position const, scene::physics::Physics_Object>, std::allocator<std::_Rb_tree_node<std::pair<scene::physics::Position const, scene::physics::Physics_Object> > > >&&) [77]
                0.00    0.00     132/969093      std::_Rb_tree<scene::physics::Position, std::pair<scene::physics::Position const, scene::physics::Physics_Object>, std::_Select1st<std::pair<scene::physics::Position const, scene::physics::Physics_Object> >, std::less<scene::physics::Position>, std::allocator<std::pair<scene::physics::Position const, scene::physics::Physics_Object> > >::_M_get_insert_equal_pos(scene::physics::Position const&) [10]
                0.00    0.00     132/969093      std::_Rb_tree<scene::physics::Position, std::pair<scene::physics::Position const, scene::physics::Physics_Object>, std::_Select1st<std::pair<scene::physics::Position const, scene::physics::Physics_Object> >, std::less<scene::physics::Position>, std::allocator<std::pair<scene::physics::Position const, scene::physics::Physics_Object> > >::_M_insert_node(std::_Rb_tree_node_base*, std::_Rb_tree_node_base*, std::_Rb_tree_node<std::pair<scene::physics::Position const, scene::physics::Physics_Object> >*) [29]
                0.00    0.00     132/264         std::_Node_handle_common<std::pair<scene::physics::Position const, scene::physics::Physics_Object>, std::allocator<std::_Rb_tree_node<std::pair<scene::physics::Position const, scene::physics::Physics_Object> > > >::empty() const [110]
                0.00    0.00     132/132         std::_Rb_tree_iterator<std::pair<scene::physics::Position const, scene::physics::Physics_Object> >::_Rb_tree_iterator() [128]
                0.00    0.00     132/132         std::_Node_handle<scene::physics::Position, std::pair<scene::physics::Position const, scene::physics::Physics_Object>, std::allocator<std::_Rb_tree_node<std::pair<scene::physics::Position const, scene::physics::Physics_Object> > > >::_M_key() const [123]
-----------------------------------------------
                0.00    0.00     132/132         scene::physics::Physics_Object_List::move(unsigned long, scene::physics::Position, scene::physics::Position) [46]
[78]     0.0    0.00    0.00     132         std::multimap<scene::physics::Position, scene::physics::Physics_Object, std::less<scene::physics::Position>, std::allocator<std::pair<scene::physics::Position const, scene::physics::Physics_Object> > >::insert(std::_Node_handle<scene::physics::Position, std::pair<scene::physics::Position const, scene::physics::Physics_Object>, std::allocator<std::_Rb_tree_node<std::pair<scene::physics::Position const, scene::physics::Physics_Object> > > >&&) [78]
                0.00    0.00     132/132         std::_Rb_tree<scene::physics::Position, std::pair<scene::physics::Position const, scene::physics::Physics_Object>, std::_Select1st<std::pair<scene::physics::Position const, scene::physics::Physics_Object> >, std::less<scene::physics::Position>, std::allocator<std::pair<scene::physics::Position const, scene::physics::Physics_Object> > >::_M_reinsert_node_equal(std::_Node_handle<scene::physics::Position, std::pair<scene::physics::Position const, scene::physics::Physics_Object>, std::allocator<std::_Rb_tree_node<std::pair<scene::physics::Position const, scene::physics::Physics_Object> > > >&&) [77]
                0.00    0.00     132/264         std::remove_reference<std::_Node_handle<scene::physics::Position, std::pair<scene::physics::Position const, scene::physics::Physics_Object>, std::allocator<std::_Rb_tree_node<std::pair<scene::physics::Position const, scene::physics::Physics_Object> > > >&>::type&& std::move<std::_Node_handle<scene::physics::Position, std::pair<scene::physics::Position const, scene::physics::Physics_Object>, std::allocator<std::_Rb_tree_node<std::pair<scene::physics::Position const, scene::physics::Physics_Object> > > >&>(std::_Node_handle<scene::physics::Position, std::pair<scene::physics::Position const, scene::physics::Physics_Object>, std::allocator<std::_Rb_tree_node<std::pair<scene::physics::Position const, scene::physics::Physics_Object> > > >&) [111]
-----------------------------------------------
                0.00    0.00      29/29          scene::physics::Nudge_Command& std::vector<scene::physics::Nudge_Command, std::allocator<scene::physics::Nudge_Command> >::emplace_back<scene::physics::Nudge_Command>(scene::physics::Nudge_Command&&) [32]
[79]     0.0    0.00    0.00      29         void std::vector<scene::physics::Nudge_Command, std::allocator<scene::physics::Nudge_Command> >::_M_realloc_insert<scene::physics::Nudge_Command>(__gnu_cxx::__normal_iterator<scene::physics::Nudge_Command*, std::vector<scene::physics::Nudge_Command, std::allocator<scene::physics::Nudge_Command> > >, scene::physics::Nudge_Command&&) [79]
                0.00    0.00      29/969147      void std::allocator_traits<std::allocator<scene::physics::Nudge_Command> >::construct<scene::physics::Nudge_Command, scene::physics::Nudge_Command>(std::allocator<scene::physics::Nudge_Command>&, scene::physics::Nudge_Command*, scene::physics::Nudge_Command&&) [37]
                0.00    0.00      58/65          std::_Vector_base<scene::physics::Nudge_Command, std::allocator<scene::physics::Nudge_Command> >::_M_get_Tp_allocator() [138]
                0.00    0.00      58/1938246     __gnu_cxx::__normal_iterator<scene::physics::Nudge_Command*, std::vector<scene::physics::Nudge_Command, std::allocator<scene::physics::Nudge_Command> > >::base() const [93]
                0.00    0.00      58/58          std::vector<scene::physics::Nudge_Command, std::allocator<scene::physics::Nudge_Command> >::_S_relocate(scene::physics::Nudge_Command*, scene::physics::Nudge_Command*, scene::physics::Nudge_Command*, std::allocator<scene::physics::Nudge_Command>&) [143]
                0.00    0.00      29/29          std::vector<scene::physics::Nudge_Command, std::allocator<scene::physics::Nudge_Command> >::_M_check_len(unsigned long, char const*) const [154]
                0.00    0.00      29/31          std::vector<scene::physics::Nudge_Command, std::allocator<scene::physics::Nudge_Command> >::begin() [149]
                0.00    0.00      29/29          __gnu_cxx::__normal_iterator<scene::physics::Nudge_Command*, std::vector<scene::physics::Nudge_Command, std::allocator<scene::physics::Nudge_Command> > >::difference_type __gnu_cxx::operator-<scene::physics::Nudge_Command*, std::vector<scene::physics::Nudge_Command, std::allocator<scene::physics::Nudge_Command> > >(__gnu_cxx::__normal_iterator<scene::physics::Nudge_Command*, std::vector<scene::physics::Nudge_Command, std::allocator<scene::physics::Nudge_Command> > > const&, __gnu_cxx::__normal_iterator<scene::physics::Nudge_Command*, std::vector<scene::physics::Nudge_Command, std::allocator<scene::physics::Nudge_Command> > > const&) [152]
                0.00    0.00      29/29          std::_Vector_base<scene::physics::Nudge_Command, std::allocator<scene::physics::Nudge_Command> >::_M_allocate(unsigned long) [155]
                0.00    0.00      29/2907470     scene::physics::Nudge_Command&& std::forward<scene::physics::Nudge_Command>(std::remove_reference<scene::physics::Nudge_Command>::type&) [89]
                0.00    0.00      29/31          std::_Vector_base<scene::physics::Nudge_Command, std::allocator<scene::physics::Nudge_Command> >::_M_deallocate(scene::physics::Nudge_Command*, unsigned long) [148]
-----------------------------------------------
                0.00    0.00     132/132         std::_Rb_tree<scene::physics::Position, std::pair<scene::physics::Position const, scene::physics::Physics_Object>, std::_Select1st<std::pair<scene::physics::Position const, scene::physics::Physics_Object> >, std::less<scene::physics::Position>, std::allocator<std::pair<scene::physics::Position const, scene::physics::Physics_Object> > >::extract(std::_Rb_tree_const_iterator<std::pair<scene::physics::Position const, scene::physics::Physics_Object> >) [47]
[80]     0.0    0.00    0.00     132         std::_Rb_tree_const_iterator<std::pair<scene::physics::Position const, scene::physics::Physics_Object> >::_M_const_cast() const [80]
                0.00    0.00     132/4908127     std::_Rb_tree_iterator<std::pair<scene::physics::Position const, scene::physics::Physics_Object> >::_Rb_tree_iterator(std::_Rb_tree_node_base*) [50]
-----------------------------------------------
                0.00    0.00  968961/5813766     std::_Rb_tree_iterator<std::pair<scene::physics::Position const, scene::physics::Physics_Object> > std::multimap<scene::physics::Position, scene::physics::Physics_Object, std::less<scene::physics::Position>, std::allocator<std::pair<scene::physics::Position const, scene::physics::Physics_Object> > >::emplace<std::pair<scene::physics::Position, scene::physics::Physics_Object> >(std::pair<scene::physics::Position, scene::physics::Physics_Object>&&) [8]
                0.00    0.00  968961/5813766     std::_Rb_tree_iterator<std::pair<scene::physics::Position const, scene::physics::Physics_Object> > std::_Rb_tree<scene::physics::Position, std::pair<scene::physics::Position const, scene::physics::Physics_Object>, std::_Select1st<std::pair<scene::physics::Position const, scene::physics::Physics_Object> >, std::less<scene::physics::Position>, std::allocator<std::pair<scene::physics::Position const, scene::physics::Physics_Object> > >::_M_emplace_equal<std::pair<scene::physics::Position, scene::physics::Physics_Object> >(std::pair<scene::physics::Position, scene::physics::Physics_Object>&&) [9]
                0.00    0.00  968961/5813766     std::_Rb_tree_node<std::pair<scene::physics::Position const, scene::physics::Physics_Object> >* std::_Rb_tree<scene::physics::Position, std::pair<scene::physics::Position const, scene::physics::Physics_Object>, std::_Select1st<std::pair<scene::physics::Position const, scene::physics::Physics_Object> >, std::less<scene::physics::Position>, std::allocator<std::pair<scene::physics::Position const, scene::physics::Physics_Object> > >::_M_create_node<std::pair<scene::physics::Position, scene::physics::Physics_Object> >(std::pair<scene::physics::Position, scene::physics::Physics_Object>&&) [26]
                0.00    0.00  968961/5813766     void std::_Rb_tree<scene::physics::Position, std::pair<scene::physics::Position const, scene::physics::Physics_Object>, std::_Select1st<std::pair<scene::physics::Position const, scene::physics::Physics_Object> >, std::less<scene::physics::Position>, std::allocator<std::pair<scene::physics::Position const, scene::physics::Physics_Object> > >::_M_construct_node<std::pair<scene::physics::Position, scene::physics::Physics_Object> >(std::_Rb_tree_node<std::pair<scene::physics::Position const, scene::physics::Physics_Object> >*, std::pair<scene::physics::Position, scene::physics::Physics_Object>&&) [36]
                0.00    0.00  968961/5813766     decltype (::new ((void*)(0)) std::pair<scene::physics::Position const, scene::physics::Physics_Object>((declval<std::pair<scene::physics::Position, scene::physics::Physics_Object> >)())) std::construct_at<std::pair<scene::physics::Position const, scene::physics::Physics_Object>, std::pair<scene::physics::Position, scene::physics::Physics_Object> >(std::pair<scene::physics::Position const, scene::physics::Physics_Object>*, std::pair<scene::physics::Position, scene::physics::Physics_Object>&&) [44]
                0.00    0.00  968961/5813766     void std::allocator_traits<std::allocator<std::_Rb_tree_node<std::pair<scene::physics::Position const, scene::physics::Physics_Object> > > >::construct<std::pair<scene::physics::Position const, scene::physics::Physics_Object>, std::pair<scene::physics::Position, scene::physics::Physics_Object> >(std::allocator<std::_Rb_tree_node<std::pair<scene::physics::Position const, scene::physics::Physics_Object> > >&, std::pair<scene::physics::Position const, scene::physics::Physics_Object>*, std::pair<scene::physics::Position, scene::physics::Physics_Object>&&) [42]
[87]     0.0    0.00    0.00 5813766         std::pair<scene::physics::Position, scene::physics::Physics_Object>&& std::forward<std::pair<scene::physics::Position, scene::physics::Physics_Object> >(std::remove_reference<std::pair<scene::physics::Position, scene::physics::Physics_Object> >::type&) [87]
-----------------------------------------------
                0.00    0.00  969093/3907637     std::_Rb_tree<scene::physics::Position, std::pair<scene::physics::Position const, scene::physics::Physics_Object>, std::_Select1st<std::pair<scene::physics::Position const, scene::physics::Physics_Object> >, std::less<scene::physics::Position>, std::allocator<std::pair<scene::physics::Position const, scene::physics::Physics_Object> > >::_M_get_insert_equal_pos(scene::physics::Position const&) [10]
                0.00    0.00  969093/3907637     std::_Rb_tree<scene::physics::Position, std::pair<scene::physics::Position const, scene::physics::Physics_Object>, std::_Select1st<std::pair<scene::physics::Position const, scene::physics::Physics_Object> >, std::less<scene::physics::Position>, std::allocator<std::pair<scene::physics::Position const, scene::physics::Physics_Object> > >::_M_insert_node(std::_Rb_tree_node_base*, std::_Rb_tree_node_base*, std::_Rb_tree_node<std::pair<scene::physics::Position const, scene::physics::Physics_Object> >*) [29]
                0.00    0.00 1969451/3907637     std::_Rb_tree<scene::physics::Position, std::pair<scene::physics::Position const, scene::physics::Physics_Object>, std::_Select1st<std::pair<scene::physics::Position const, scene::physics::Physics_Object> >, std::less<scene::physics::Position>, std::allocator<std::pair<scene::physics::Position const, scene::physics::Physics_Object> > >::equal_range(scene::physics::Position const&) [4]
[88]     0.0    0.00    0.00 3907637         std::_Rb_tree<scene::physics::Position, std::pair<scene::physics::Position const, scene::physics::Physics_Object>, std::_Select1st<std::pair<scene::physics::Position const, scene::physics::Physics_Object> >, std::less<scene::physics::Position>, std::allocator<std::pair<scene::physics::Position const, scene::physics::Physics_Object> > >::_M_end() [88]
-----------------------------------------------
                0.00    0.00      29/2907470     void std::vector<scene::physics::Nudge_Command, std::allocator<scene::physics::Nudge_Command> >::_M_realloc_insert<scene::physics::Nudge_Command>(__gnu_cxx::__normal_iterator<scene::physics::Nudge_Command*, std::vector<scene::physics::Nudge_Command, std::allocator<scene::physics::Nudge_Command> > >, scene::physics::Nudge_Command&&) [79]
                0.00    0.00  969147/2907470     scene::physics::Nudge_Command& std::vector<scene::physics::Nudge_Command, std::allocator<scene::physics::Nudge_Command> >::emplace_back<scene::physics::Nudge_Command>(scene::physics::Nudge_Command&&) [32]
                0.00    0.00  969147/2907470     decltype (::new ((void*)(0)) scene::physics::Nudge_Command((declval<scene::physics::Nudge_Command>)())) std::construct_at<scene::physics::Nudge_Command, scene::physics::Nudge_Command>(scene::physics::Nudge_Command*, scene::physics::Nudge_Command&&) [38]
                0.00    0.00  969147/2907470     void std::allocator_traits<std::allocator<scene::physics::Nudge_Command> >::construct<scene::physics::Nudge_Command, scene::physics::Nudge_Command>(std::allocator<scene::physics::Nudge_Command>&, scene::physics::Nudge_Command*, scene::physics::Nudge_Command&&) [37]
[89]     0.0    0.00    0.00 2907470         scene::physics::Nudge_Command&& std::forward<scene::physics::Nudge_Command>(std::remove_reference<scene::physics::Nudge_Command>::type&) [89]
-----------------------------------------------
                0.00    0.00  968961/2907069     void std::_Rb_tree<scene::physics::Position, std::pair<scene::physics::Position const, scene::physics::Physics_Object>, std::_Select1st<std::pair<scene::physics::Position const, scene::physics::Physics_Object> >, std::less<scene::physics::Position>, std::allocator<std::pair<scene::physics::Position const, scene::physics::Physics_Object> > >::_M_construct_node<std::pair<scene::physics::Position, scene::physics::Physics_Object> >(std::_Rb_tree_node<std::pair<scene::physics::Position const, scene::physics::Physics_Object> >*, std::pair<scene::physics::Position, scene::physics::Physics_Object>&&) [36]
                0.00    0.00  968961/2907069     decltype (::new ((void*)(0)) std::pair<scene::physics::Position const, scene::physics::Physics_Object>((declval<std::pair<scene::physics::Position, scene::physics::Physics_Object> >)())) std::construct_at<std::pair<scene::physics::Position const, scene::physics::Physics_Object>, std::pair<scene::physics::Position, scene::physics::Physics_Object> >(std::pair<scene::physics::Position const, scene::physics::Physics_Object>*, std::pair<scene::physics::Position, scene::physics::Physics_Object>&&) [44]
                0.00    0.00  969147/2907069     decltype (::new ((void*)(0)) scene::physics::Nudge_Command((declval<scene::physics::Nudge_Command>)())) std::construct_at<scene::physics::Nudge_Command, scene::physics::Nudge_Command>(scene::physics::Nudge_Command*, scene::physics::Nudge_Command&&) [38]
[90]     0.0    0.00    0.00 2907069         operator new(unsigned long, void*) [90]
-----------------------------------------------
                0.00    0.00  968961/2906883     std::pair<std::__strip_reference_wrapper<std::decay<scene::physics::Position>::type>::__type, std::__strip_reference_wrapper<std::decay<scene::physics::Physics_Object>::type>::__type> std::make_pair<scene::physics::Position, scene::physics::Physics_Object>(scene::physics::Position&&, scene::physics::Physics_Object&&) [34]
                0.00    0.00  968961/2906883     std::pair<scene::physics::Position, scene::physics::Physics_Object>::pair<scene::physics::Position, scene::physics::Physics_Object, true>(scene::physics::Position&&, scene::physics::Physics_Object&&) [76]
                0.00    0.00  968961/2906883     std::pair<scene::physics::Position const, scene::physics::Physics_Object>::pair<scene::physics::Position, scene::physics::Physics_Object, true>(std::pair<scene::physics::Position, scene::physics::Physics_Object>&&) [43]
[91]     0.0    0.00    0.00 2906883         scene::physics::Position&& std::forward<scene::physics::Position>(std::remove_reference<scene::physics::Position>::type&) [91]
-----------------------------------------------
                0.00    0.00      31/1938356     std::vector<scene::physics::Nudge_Command, std::allocator<scene::physics::Nudge_Command> >::begin() [149]
                0.00    0.00  969147/1938356     __gnu_cxx::__normal_iterator<scene::physics::Nudge_Command*, std::vector<scene::physics::Nudge_Command, std::allocator<scene::physics::Nudge_Command> > >::operator-(long) const [97]
                0.00    0.00  969178/1938356     std::vector<scene::physics::Nudge_Command, std::allocator<scene::physics::Nudge_Command> >::end() [96]
[92]     0.0    0.00    0.00 1938356         __gnu_cxx::__normal_iterator<scene::physics::Nudge_Command*, std::vector<scene::physics::Nudge_Command, std::allocator<scene::physics::Nudge_Command> > >::__normal_iterator(scene::physics::Nudge_Command* const&) [92]
-----------------------------------------------
                0.00    0.00      58/1938246     void std::vector<scene::physics::Nudge_Command, std::allocator<scene::physics::Nudge_Command> >::_M_realloc_insert<scene::physics::Nudge_Command>(__gnu_cxx::__normal_iterator<scene::physics::Nudge_Command*, std::vector<scene::physics::Nudge_Command, std::allocator<scene::physics::Nudge_Command> > >, scene::physics::Nudge_Command&&) [79]
                0.00    0.00      58/1938246     __gnu_cxx::__normal_iterator<scene::physics::Nudge_Command*, std::vector<scene::physics::Nudge_Command, std::allocator<scene::physics::Nudge_Command> > >::difference_type __gnu_cxx::operator-<scene::physics::Nudge_Command*, std::vector<scene::physics::Nudge_Command, std::allocator<scene::physics::Nudge_Command> > >(__gnu_cxx::__normal_iterator<scene::physics::Nudge_Command*, std::vector<scene::physics::Nudge_Command, std::allocator<scene::physics::Nudge_Command> > > const&, __gnu_cxx::__normal_iterator<scene::physics::Nudge_Command*, std::vector<scene::physics::Nudge_Command, std::allocator<scene::physics::Nudge_Command> > > const&) [152]
                0.00    0.00 1938130/1938246     bool __gnu_cxx::operator==<scene::physics::Nudge_Command*, scene::physics::Nudge_Command*, std::vector<scene::physics::Nudge_Command, std::allocator<scene::physics::Nudge_Command> > >(__gnu_cxx::__normal_iterator<scene::physics::Nudge_Command*, std::vector<scene::physics::Nudge_Command, std::allocator<scene::physics::Nudge_Command> > > const&, __gnu_cxx::__normal_iterator<scene::physics::Nudge_Command*, std::vector<scene::physics::Nudge_Command, std::allocator<scene::physics::Nudge_Command> > > const&) [103]
[93]     0.0    0.00    0.00 1938246         __gnu_cxx::__normal_iterator<scene::physics::Nudge_Command*, std::vector<scene::physics::Nudge_Command, std::allocator<scene::physics::Nudge_Command> > >::base() const [93]
-----------------------------------------------
                0.00    0.00  969063/1938210     scene::physics::Physics_Object_List::execute(double) [19]
                0.00    0.00  969147/1938210     std::vector<scene::physics::Nudge_Command, std::allocator<scene::physics::Nudge_Command> >::back() [98]
[94]     0.0    0.00    0.00 1938210         __gnu_cxx::__normal_iterator<scene::physics::Nudge_Command*, std::vector<scene::physics::Nudge_Command, std::allocator<scene::physics::Nudge_Command> > >::operator*() const [94]
-----------------------------------------------
                0.00    0.00       1/1938134     std::allocator_traits<std::allocator<char> >::deallocate(std::allocator<char>&, char*, unsigned long) [214]
                0.00    0.00       3/1938134     void std::_Destroy<scene::physics::Nudge_Command*>(scene::physics::Nudge_Command*, scene::physics::Nudge_Command*) [171]
                0.00    0.00      29/1938134     std::allocator_traits<std::allocator<scene::physics::Nudge_Command> >::allocate(std::allocator<scene::physics::Nudge_Command>&, unsigned long) [157]
                0.00    0.00      29/1938134     std::allocator_traits<std::allocator<scene::physics::Nudge_Command> >::deallocate(std::allocator<scene::physics::Nudge_Command>&, scene::physics::Nudge_Command*, unsigned long) [156]
                0.00    0.00     150/1938134     std::allocator_traits<std::allocator<char> >::allocate(std::allocator<char>&, unsigned long) [120]
                0.00    0.00  968961/1938134     std::allocator_traits<std::allocator<std::_Rb_tree_node<std::pair<scene::physics::Position const, scene::physics::Physics_Object> > > >::deallocate(std::allocator<std::_Rb_tree_node<std::pair<scene::physics::Position const, scene::physics::Physics_Object> > >&, std::_Rb_tree_node<std::pair<scene::physics::Position const, scene::physics::Physics_Object> >*, unsigned long) [61]
                0.00    0.00  968961/1938134     std::allocator_traits<std::allocator<std::_Rb_tree_node<std::pair<scene::physics::Position const, scene::physics::Physics_Object> > > >::allocate(std::allocator<std::_Rb_tree_node<std::pair<scene::physics::Position const, scene::physics::Physics_Object> > >&, unsigned long) [62]
[95]     0.0    0.00    0.00 1938134         std::is_constant_evaluated() [95]
-----------------------------------------------
                0.00    0.00       2/969178      scene::physics::Physics_Object_List::execute(double) [19]
